Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Firefox 62.0,,2018-10-05 15:02:35,2018-10-05 15:02:56,21.368s,FAILED
,,,,,,
Test Cases/SampleTest,Firefox 62.0,,2018-10-05 15:02:35,2018-10-05 15:02:56,20.711s,FAILED
Start listener action : sampleBeforeTestCase,Firefox 62.0,,2018-10-05 15:02:35,2018-10-05 15:02:35,0.050s,PASSED
openBrowser,Firefox 62.0,,2018-10-05 15:02:35,2018-10-05 15:02:45,9.687s,PASSED
maximizeWindow,Firefox 62.0,,2018-10-05 15:02:45,2018-10-05 15:02:46,0.523s,PASSED
navigateToUrl,Firefox 62.0,,2018-10-05 15:02:46,2018-10-05 15:02:52,6.408s,PASSED
verifyElementText,Firefox 62.0,,2018-10-05 15:02:52,2018-10-05 15:02:52,0.240s,PASSED
click,Firefox 62.0,,2018-10-05 15:02:52,2018-10-05 15:02:55,2.738s,PASSED
verifyElementText,Firefox 62.0,,2018-10-05 15:02:55,2018-10-05 15:02:55,0.435s,FAILED
Start listener action : sampleAfterTestCase,Firefox 62.0,,2018-10-05 15:02:55,2018-10-05 15:02:56,0.417s,PASSED
