Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-10 17:45:08,2018-10-10 17:46:04,55.808s,PASSED
,,,,,,
Test Cases/Login,Chrome 69.0.3497.100,,2018-10-10 17:45:10,2018-10-10 17:45:44,34.954s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 69.0.3497.100,,2018-10-10 17:45:10,2018-10-10 17:45:10,0.125s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-10 17:45:10,2018-10-10 17:45:16,5.799s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-10 17:45:16,2018-10-10 17:45:16,0.322s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-10 17:45:16,2018-10-10 17:45:38,21.284s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 17:45:38,2018-10-10 17:45:41,3.226s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 17:45:41,2018-10-10 17:45:42,0.825s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-10 17:45:42,2018-10-10 17:45:42,0.607s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 17:45:42,2018-10-10 17:45:44,2.086s,PASSED
,,,,,,
Test Cases/MyAddress,Chrome 69.0.3497.100,,2018-10-10 17:45:45,2018-10-10 17:45:58,13.033s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 69.0.3497.100,,2018-10-10 17:45:45,2018-10-10 17:45:45,0.003s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 17:45:45,2018-10-10 17:45:46,1.153s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 17:45:46,2018-10-10 17:45:48,1.642s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 17:45:48,2018-10-10 17:45:48,0.354s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 17:45:48,2018-10-10 17:45:49,0.619s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 17:45:49,2018-10-10 17:45:49,0.379s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-10 17:45:49,2018-10-10 17:45:51,1.881s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 17:45:51,2018-10-10 17:45:51,0.350s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 17:45:51,2018-10-10 17:45:52,0.407s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 17:45:52,2018-10-10 17:45:52,0.378s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 17:45:52,2018-10-10 17:45:53,0.540s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 17:45:53,2018-10-10 17:45:55,1.938s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 17:45:55,2018-10-10 17:45:55,0.268s,PASSED
acceptAlert,Chrome 69.0.3497.100,,2018-10-10 17:45:55,2018-10-10 17:45:55,0.076s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 17:45:55,2018-10-10 17:45:58,2.691s,PASSED
,,,,,,
Test Cases/Personal Information,Chrome 69.0.3497.100,,2018-10-10 17:45:58,2018-10-10 17:46:04,5.993s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 69.0.3497.100,,2018-10-10 17:45:58,2018-10-10 17:45:58,0.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 17:45:58,2018-10-10 17:45:59,1.410s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 17:45:59,2018-10-10 17:46:00,0.381s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-10 17:46:00,2018-10-10 17:46:00,0.356s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-10 17:46:00,2018-10-10 17:46:00,0.399s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-10 17:46:00,2018-10-10 17:46:01,0.316s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 17:46:01,2018-10-10 17:46:02,1.311s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-10 17:46:02,2018-10-10 17:46:02,0.174s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 17:46:02,2018-10-10 17:46:04,1.418s,PASSED
