Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-10 17:43:11,2018-10-10 17:44:01,50.000s,FAILED
,,,,,,
Test Cases/Login,Chrome 69.0.3497.100,,2018-10-10 17:43:13,2018-10-10 17:43:46,33.679s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 69.0.3497.100,,2018-10-10 17:43:13,2018-10-10 17:43:13,0.254s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-10 17:43:13,2018-10-10 17:43:20,6.727s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-10 17:43:20,2018-10-10 17:43:20,0.339s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-10 17:43:20,2018-10-10 17:43:41,20.216s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 17:43:41,2018-10-10 17:43:43,2.331s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 17:43:43,2018-10-10 17:43:44,0.602s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-10 17:43:44,2018-10-10 17:43:44,0.558s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 17:43:44,2018-10-10 17:43:46,2.123s,PASSED
,,,,,,
Test Cases/MyAddress,Chrome 69.0.3497.100,,2018-10-10 17:43:46,2018-10-10 17:44:00,13.781s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 69.0.3497.100,,2018-10-10 17:43:46,2018-10-10 17:43:46,0.004s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 17:43:47,2018-10-10 17:43:48,1.244s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 17:43:48,2018-10-10 17:43:50,1.627s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 17:43:50,2018-10-10 17:43:50,0.337s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 17:43:50,2018-10-10 17:43:51,0.646s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 17:43:51,2018-10-10 17:43:51,0.343s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-10 17:43:51,2018-10-10 17:43:53,1.752s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 17:43:53,2018-10-10 17:43:53,0.249s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 17:43:53,2018-10-10 17:43:53,0.280s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 17:43:53,2018-10-10 17:43:54,0.479s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 17:43:54,2018-10-10 17:43:54,0.516s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 17:43:54,2018-10-10 17:43:56,1.995s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 17:43:56,2018-10-10 17:43:57,0.349s,PASSED
acceptAlert,Chrome 69.0.3497.100,,2018-10-10 17:43:57,2018-10-10 17:43:57,0.074s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 17:43:57,2018-10-10 17:44:00,2.970s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-10 17:44:00,2018-10-10 17:44:00,0.566s,PASSED
,,,,,,
Test Cases/Personal Information,Chrome 69.0.3497.100,,2018-10-10 17:44:00,2018-10-10 17:44:01,0.468s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 69.0.3497.100,,2018-10-10 17:44:00,2018-10-10 17:44:00,0.004s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 17:44:01,2018-10-10 17:44:01,0.047s,FAILED
