Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-09-27 15:53:11,2018-09-27 15:53:28,17.251s,PASSED
,,,,,,
Test Cases/SampleTest,Chrome 69.0.3497.100,,2018-09-27 15:53:11,2018-09-27 15:53:28,16.703s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-27 15:53:12,2018-09-27 15:53:15,3.322s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-27 15:53:15,2018-09-27 15:53:15,0.238s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-27 15:53:15,2018-09-27 15:53:22,6.791s,PASSED
click,Chrome 69.0.3497.100,,2018-09-27 15:53:22,2018-09-27 15:53:24,1.774s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-27 15:53:24,2018-09-27 15:53:24,0.343s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-27 15:53:24,2018-09-27 15:53:24,0.250s,PASSED
click,Chrome 69.0.3497.100,,2018-09-27 15:53:24,2018-09-27 15:53:27,2.265s,PASSED
click,Chrome 69.0.3497.100,,2018-09-27 15:53:27,2018-09-27 15:53:28,1.226s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-27 15:53:28,2018-09-27 15:53:28,0.109s,PASSED
