Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-09-27 12:38:57,2018-09-27 12:39:12,15.210s,PASSED
,,,,,,
Test Cases/SampleTest,Chrome 69.0.3497.100,,2018-09-27 12:38:58,2018-09-27 12:39:12,14.625s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-27 12:38:58,2018-09-27 12:39:00,2.341s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-27 12:39:00,2018-09-27 12:39:07,6.246s,PASSED
click,Chrome 69.0.3497.100,,2018-09-27 12:39:07,2018-09-27 12:39:09,1.977s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-27 12:39:09,2018-09-27 12:39:09,0.263s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-27 12:39:09,2018-09-27 12:39:09,0.320s,PASSED
click,Chrome 69.0.3497.100,,2018-09-27 12:39:09,2018-09-27 12:39:11,1.738s,PASSED
click,Chrome 69.0.3497.100,,2018-09-27 12:39:11,2018-09-27 12:39:12,1.112s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-27 12:39:12,2018-09-27 12:39:12,0.163s,PASSED
